epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7962.86,1.08466,0.49082,1.14743,0.95147,0.9139,0.96843,0.6528,1.20565,0.49746,1.39893,0.0091189,0.0091189,0.0091189
91,8049.88,1.08372,0.48889,1.14308,0.96336,0.90195,0.96756,0.6447,1.22666,0.50807,1.40151,0.009109,0.009109,0.009109
92,8136.7,1.08124,0.49064,1.14531,0.95726,0.91449,0.96669,0.65093,1.20827,0.49667,1.39762,0.0090991,0.0090991,0.0090991
93,8223.53,1.0831,0.48996,1.14704,0.95384,0.90472,0.96096,0.63929,1.21292,0.51573,1.40501,0.0090892,0.0090892,0.0090892
94,8310.7,1.08471,0.49149,1.14315,0.95341,0.91212,0.96296,0.64795,1.20681,0.50404,1.3944,0.0090793,0.0090793,0.0090793
95,8398.64,1.0813,0.48837,1.147,0.96321,0.91445,0.96729,0.65627,1.19436,0.49661,1.38394,0.0090694,0.0090694,0.0090694
96,8491.24,1.08044,0.48882,1.1502,0.95727,0.91754,0.96787,0.65212,1.20977,0.50064,1.39163,0.0090595,0.0090595,0.0090595
97,8578.58,1.07901,0.49012,1.14547,0.9606,0.91279,0.96507,0.64285,1.22924,0.50598,1.41001,0.0090496,0.0090496,0.0090496
98,8666.09,1.08305,0.49045,1.14667,0.95848,0.91303,0.96587,0.64679,1.22293,0.50652,1.40836,0.0090397,0.0090397,0.0090397
99,8753.31,1.07651,0.48688,1.14484,0.95928,0.91652,0.9679,0.64849,1.22315,0.4999,1.40726,0.0090298,0.0090298,0.0090298
100,8840.22,1.07761,0.48683,1.14674,0.96033,0.91159,0.96463,0.64358,1.23173,0.50547,1.42535,0.0090199,0.0090199,0.0090199
101,8926.98,1.07583,0.48095,1.13874,0.95471,0.91146,0.96468,0.64236,1.2374,0.50413,1.43023,0.00901,0.00901,0.00901
102,9013.76,1.07798,0.48331,1.14833,0.95354,0.91315,0.9646,0.6495,1.2237,0.49916,1.41249,0.0090001,0.0090001,0.0090001
103,9100.5,1.07452,0.48605,1.14209,0.95029,0.9164,0.96351,0.64494,1.23811,0.49934,1.4223,0.0089902,0.0089902,0.0089902
104,9187.25,1.06853,0.4802,1.14012,0.96032,0.90962,0.9646,0.64459,1.2285,0.49782,1.4169,0.0089803,0.0089803,0.0089803
105,9274.04,1.07207,0.47975,1.14212,0.95908,0.90899,0.9665,0.64786,1.22765,0.49722,1.41607,0.0089704,0.0089704,0.0089704
106,9360.74,1.07357,0.48468,1.1433,0.95555,0.90889,0.96538,0.6486,1.22258,0.50365,1.41279,0.0089605,0.0089605,0.0089605
107,9447.6,1.06947,0.48307,1.14322,0.95514,0.90508,0.9629,0.64343,1.22986,0.51223,1.42203,0.0089506,0.0089506,0.0089506
108,9543.78,1.06541,0.48049,1.13902,0.95814,0.9087,0.96424,0.64534,1.22634,0.50611,1.4167,0.0089407,0.0089407,0.0089407
109,9630.76,1.07199,0.48223,1.14126,0.9569,0.90924,0.96436,0.64754,1.21651,0.5024,1.41576,0.0089308,0.0089308,0.0089308
110,9717.37,1.06566,0.48142,1.1364,0.96323,0.90563,0.96468,0.65046,1.20461,0.49934,1.40883,0.0089209,0.0089209,0.0089209
111,9804.31,1.06611,0.47897,1.13687,0.95929,0.91062,0.96578,0.65311,1.20564,0.50025,1.40996,0.008911,0.008911,0.008911
112,9890.96,1.06508,0.4787,1.1381,0.9586,0.9121,0.9662,0.65258,1.21021,0.49618,1.41188,0.0089011,0.0089011,0.0089011
113,9977.77,1.06729,0.47919,1.13752,0.96204,0.91269,0.96751,0.65505,1.20087,0.49123,1.40545,0.0088912,0.0088912,0.0088912
114,10064.7,1.06512,0.47917,1.13763,0.9626,0.91462,0.96869,0.6578,1.20398,0.48911,1.40535,0.0088813,0.0088813,0.0088813
115,10151.5,1.06089,0.47987,1.13451,0.95746,0.91895,0.96948,0.65582,1.20776,0.48703,1.40381,0.0088714,0.0088714,0.0088714
116,10238.2,1.05685,0.48099,1.13463,0.9589,0.91376,0.96823,0.65421,1.21278,0.49092,1.40848,0.0088615,0.0088615,0.0088615
117,10332.8,1.05602,0.47629,1.13623,0.96173,0.91616,0.96974,0.65647,1.20872,0.48406,1.40604,0.0088516,0.0088516,0.0088516
118,10419.9,1.06218,0.47587,1.13655,0.96567,0.9115,0.96918,0.65685,1.20332,0.48263,1.40364,0.0088417,0.0088417,0.0088417
119,10506.6,1.05924,0.47516,1.13351,0.96183,0.91358,0.96968,0.65779,1.20069,0.47877,1.40148,0.0088318,0.0088318,0.0088318
120,10593.3,1.05761,0.47592,1.13456,0.96675,0.9034,0.9677,0.65528,1.19766,0.48563,1.40081,0.0088219,0.0088219,0.0088219
121,10679.9,1.05548,0.47609,1.13712,0.966,0.90002,0.96611,0.65316,1.19921,0.48775,1.40054,0.008812,0.008812,0.008812
122,10766.7,1.05707,0.47418,1.13097,0.96275,0.90279,0.96612,0.65403,1.19574,0.48834,1.39696,0.0088021,0.0088021,0.0088021
123,10853.5,1.05552,0.47284,1.13481,0.96021,0.90617,0.96649,0.65482,1.19674,0.48605,1.39798,0.0087922,0.0087922,0.0087922
124,10940.3,1.05749,0.47025,1.13402,0.95972,0.90689,0.96676,0.6539,1.1986,0.48629,1.39839,0.0087823,0.0087823,0.0087823
125,11027,1.0568,0.47285,1.13582,0.96272,0.9053,0.96721,0.6559,1.19612,0.4827,1.39555,0.0087724,0.0087724,0.0087724
126,11113.8,1.05509,0.47326,1.13204,0.96264,0.90942,0.96808,0.65428,1.19871,0.47872,1.39724,0.0087625,0.0087625,0.0087625
127,11200.4,1.05455,0.47594,1.13415,0.95706,0.90978,0.96729,0.65419,1.19877,0.47932,1.39894,0.0087526,0.0087526,0.0087526
128,11287.2,1.05434,0.47297,1.13726,0.96203,0.90508,0.96616,0.65299,1.19747,0.48254,1.39823,0.0087427,0.0087427,0.0087427
129,11373.9,1.05038,0.47058,1.12914,0.96368,0.90121,0.96568,0.6523,1.19636,0.48558,1.39859,0.0087328,0.0087328,0.0087328
130,11460.8,1.05518,0.47206,1.13422,0.9591,0.90255,0.96588,0.65247,1.20031,0.48834,1.40004,0.0087229,0.0087229,0.0087229
131,11547.5,1.05522,0.47191,1.1271,0.95852,0.90653,0.96682,0.65334,1.2009,0.48481,1.39874,0.008713,0.008713,0.008713
132,11634.4,1.05293,0.47156,1.13232,0.95858,0.91153,0.96782,0.65508,1.19989,0.48303,1.3973,0.0087031,0.0087031,0.0087031
133,11721.2,1.05155,0.47382,1.13226,0.96035,0.91013,0.96859,0.6564,1.20034,0.48234,1.39774,0.0086932,0.0086932,0.0086932
134,11807.8,1.05498,0.47321,1.13398,0.96002,0.9105,0.96863,0.65539,1.20267,0.48109,1.39898,0.0086833,0.0086833,0.0086833
135,11894.6,1.04526,0.46974,1.13091,0.95823,0.91181,0.96855,0.65609,1.19939,0.48049,1.39895,0.0086734,0.0086734,0.0086734
136,11981.3,1.05046,0.47138,1.13529,0.95868,0.91219,0.96895,0.65676,1.19869,0.47816,1.39795,0.0086635,0.0086635,0.0086635
137,12068,1.04639,0.46744,1.13005,0.96018,0.91135,0.96953,0.65903,1.1949,0.4755,1.3958,0.0086536,0.0086536,0.0086536
138,12154.8,1.04748,0.46945,1.1347,0.96177,0.90914,0.96883,0.65806,1.19623,0.47557,1.39658,0.0086437,0.0086437,0.0086437
139,12241.8,1.04854,0.47051,1.13222,0.96176,0.90889,0.9685,0.65663,1.19851,0.47599,1.39843,0.0086338,0.0086338,0.0086338
140,12328.5,1.04999,0.46827,1.13232,0.96238,0.91086,0.96879,0.65711,1.19772,0.4749,1.39849,0.0086239,0.0086239,0.0086239
141,12415.6,1.04915,0.46866,1.13366,0.96144,0.91292,0.96895,0.65734,1.19778,0.47368,1.4001,0.008614,0.008614,0.008614
142,12502.3,1.04012,0.4653,1.12506,0.96201,0.914,0.96928,0.65755,1.19807,0.47192,1.39981,0.0086041,0.0086041,0.0086041
143,12589.2,1.05304,0.46992,1.13288,0.96146,0.9134,0.96932,0.65743,1.1973,0.47235,1.39988,0.0085942,0.0085942,0.0085942
144,12675.9,1.04506,0.46847,1.12629,0.9615,0.91074,0.96927,0.65784,1.19657,0.47274,1.39942,0.0085843,0.0085843,0.0085843
145,12773.5,1.04852,0.47087,1.13501,0.96364,0.9098,0.96959,0.65798,1.1963,0.47282,1.39961,0.0085744,0.0085744,0.0085744
146,12860.5,1.03829,0.46676,1.12798,0.96359,0.91026,0.96908,0.6579,1.19671,0.47293,1.40125,0.0085645,0.0085645,0.0085645
147,12947.5,1.04388,0.46751,1.12795,0.96454,0.91075,0.96958,0.65821,1.19832,0.47255,1.40238,0.0085546,0.0085546,0.0085546
148,13034.4,1.04328,0.46705,1.1272,0.96466,0.91074,0.96958,0.65807,1.1997,0.47248,1.40345,0.0085447,0.0085447,0.0085447
149,13121.1,1.04604,0.46699,1.1287,0.9639,0.91147,0.96907,0.65737,1.199,0.47225,1.4031,0.0085348,0.0085348,0.0085348
150,13208.1,1.04829,0.47083,1.13121,0.96132,0.91307,0.96966,0.65753,1.19947,0.47239,1.40349,0.0085249,0.0085249,0.0085249
151,13294.8,1.0433,0.46579,1.1238,0.96229,0.91288,0.96945,0.65769,1.19959,0.47235,1.40374,0.008515,0.008515,0.008515
