epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,16597.8,1.18919,0.5812,1.21608,0.92694,0.84353,0.90322,0.52615,1.50771,0.67964,1.64447,0.0094159,0.0094159,0.0094159
61,16874.1,1.18065,0.57555,1.21796,0.89348,0.85076,0.90625,0.53272,1.49667,0.67973,1.64174,0.009406,0.009406,0.009406
62,17150.3,1.1809,0.57107,1.22012,0.87853,0.84775,0.89918,0.52633,1.50145,0.70333,1.64446,0.0093961,0.0093961,0.0093961
63,17426.5,1.17673,0.56744,1.21471,0.88542,0.84486,0.90144,0.5318,1.49296,0.69639,1.63618,0.0093862,0.0093862,0.0093862
64,17702.7,1.1757,0.56706,1.21304,0.91926,0.82619,0.90208,0.53175,1.50045,0.68686,1.64853,0.0093763,0.0093763,0.0093763
65,17979.5,1.16792,0.56714,1.2123,0.91857,0.84185,0.90483,0.53503,1.49809,0.67564,1.64846,0.0093664,0.0093664,0.0093664
66,18256.9,1.16237,0.55831,1.20757,0.92508,0.84654,0.90492,0.53537,1.49905,0.66474,1.64936,0.0093565,0.0093565,0.0093565
67,18533.2,1.15553,0.55915,1.20202,0.9247,0.85088,0.906,0.53501,1.49519,0.66076,1.64654,0.0093466,0.0093466,0.0093466
68,18809.6,1.15587,0.55757,1.20259,0.92666,0.84016,0.90415,0.53118,1.50388,0.67138,1.65111,0.0093367,0.0093367,0.0093367
69,19085.9,1.14945,0.55762,1.19675,0.93162,0.83198,0.90163,0.52719,1.51396,0.68529,1.66384,0.0093268,0.0093268,0.0093268
70,19362.2,1.1478,0.55466,1.19663,0.92031,0.83823,0.90001,0.52736,1.51558,0.69662,1.66929,0.0093169,0.0093169,0.0093169
71,19638.4,1.14297,0.55159,1.19511,0.91791,0.83237,0.89872,0.52902,1.50903,0.70252,1.66892,0.009307,0.009307,0.009307
72,19914.8,1.14111,0.55324,1.19719,0.9224,0.83185,0.89948,0.5269,1.51329,0.69754,1.67227,0.0092971,0.0092971,0.0092971
73,20191.2,1.13392,0.54901,1.19093,0.91933,0.82245,0.89668,0.52606,1.51151,0.7073,1.67523,0.0092872,0.0092872,0.0092872
74,20467.4,1.13297,0.54404,1.18965,0.92253,0.82522,0.8978,0.52793,1.50378,0.69704,1.66748,0.0092773,0.0092773,0.0092773
75,20743.5,1.12866,0.5418,1.18856,0.91508,0.82354,0.89854,0.52866,1.50693,0.6953,1.67063,0.0092674,0.0092674,0.0092674
76,21019.6,1.12125,0.53936,1.18304,0.9225,0.82447,0.89782,0.52602,1.51209,0.6976,1.67546,0.0092575,0.0092575,0.0092575
77,21295.7,1.1174,0.5366,1.18215,0.91839,0.82817,0.89958,0.52592,1.5156,0.69174,1.67951,0.0092476,0.0092476,0.0092476
78,21571.7,1.11648,0.5378,1.18387,0.92065,0.82317,0.89862,0.5274,1.51267,0.69779,1.67882,0.0092377,0.0092377,0.0092377
79,21847.8,1.11388,0.53863,1.18114,0.90242,0.83691,0.89952,0.52753,1.51417,0.69173,1.67955,0.0092278,0.0092278,0.0092278
80,22123.8,1.10888,0.531,1.17376,0.90002,0.84233,0.90137,0.52758,1.51978,0.6881,1.68425,0.0092179,0.0092179,0.0092179
81,22399.8,1.1036,0.5232,1.17204,0.90431,0.83944,0.90184,0.52791,1.52327,0.68544,1.68969,0.009208,0.009208,0.009208
82,22676,1.10086,0.52552,1.17342,0.90281,0.84389,0.90346,0.52955,1.52386,0.67911,1.69264,0.0091981,0.0091981,0.0091981
83,22952,1.10198,0.52561,1.17309,0.90231,0.84907,0.90556,0.53012,1.52723,0.67309,1.69571,0.0091882,0.0091882,0.0091882
84,23229.7,1.09419,0.52283,1.1702,0.90485,0.84881,0.90498,0.52935,1.52688,0.67538,1.69691,0.0091783,0.0091783,0.0091783
85,23505.6,1.09951,0.52575,1.17044,0.91011,0.84763,0.9048,0.52759,1.52697,0.67381,1.69897,0.0091684,0.0091684,0.0091684
86,23781.6,1.08616,0.51858,1.16192,0.91076,0.84715,0.90396,0.52657,1.52473,0.67253,1.6992,0.0091585,0.0091585,0.0091585
87,24057.5,1.08606,0.52159,1.16339,0.91278,0.84707,0.90424,0.52676,1.52297,0.67312,1.69731,0.0091486,0.0091486,0.0091486
88,24333.4,1.08336,0.51586,1.16066,0.90888,0.8498,0.90226,0.52559,1.52382,0.67692,1.69891,0.0091387,0.0091387,0.0091387
89,24609.3,1.07728,0.51594,1.1556,0.90689,0.85057,0.90202,0.52484,1.52268,0.67616,1.70044,0.0091288,0.0091288,0.0091288
90,24885.3,1.0715,0.51331,1.1572,0.90391,0.8504,0.90183,0.52526,1.52038,0.67538,1.70021,0.0091189,0.0091189,0.0091189
91,25161.1,1.0692,0.51096,1.15109,0.90672,0.84919,0.90234,0.52587,1.51882,0.67321,1.70007,0.009109,0.009109,0.009109
92,25436.9,1.07056,0.50953,1.15492,0.90789,0.84885,0.90315,0.52625,1.5178,0.66911,1.70057,0.0090991,0.0090991,0.0090991
93,25712.6,1.06402,0.50963,1.15318,0.90915,0.84943,0.90377,0.52682,1.51849,0.66629,1.70236,0.0090892,0.0090892,0.0090892
94,25988.5,1.05978,0.50763,1.1491,0.90484,0.85076,0.90265,0.52667,1.51602,0.66901,1.70176,0.0090793,0.0090793,0.0090793
95,26264.5,1.05371,0.50455,1.14714,0.90527,0.8498,0.90163,0.5271,1.51465,0.6698,1.70188,0.0090694,0.0090694,0.0090694
96,26540.4,1.05741,0.50545,1.15006,0.90281,0.85088,0.90084,0.52619,1.51439,0.67212,1.70142,0.0090595,0.0090595,0.0090595
97,26816.4,1.05925,0.50698,1.14915,0.90217,0.85083,0.90037,0.52606,1.51409,0.674,1.70212,0.0090496,0.0090496,0.0090496
98,27092.4,1.04464,0.50547,1.14302,0.90063,0.85389,0.90168,0.527,1.51351,0.67227,1.70266,0.0090397,0.0090397,0.0090397
99,27368.3,1.04664,0.49887,1.14198,0.9003,0.85522,0.90223,0.52704,1.51501,0.67052,1.70385,0.0090298,0.0090298,0.0090298
100,27644.4,1.05107,0.50331,1.14642,0.90038,0.85594,0.90258,0.52649,1.51606,0.6709,1.70456,0.0090199,0.0090199,0.0090199
101,27920.3,1.04316,0.49786,1.13677,0.9026,0.85389,0.9028,0.52644,1.5168,0.67192,1.7055,0.00901,0.00901,0.00901
102,28196.2,1.0388,0.49772,1.13938,0.90419,0.85293,0.90322,0.52685,1.5173,0.67053,1.70722,0.0090001,0.0090001,0.0090001
103,28472.1,1.03693,0.49867,1.13627,0.90575,0.85245,0.90416,0.52687,1.51845,0.66941,1.70877,0.0089902,0.0089902,0.0089902
104,28748,1.03084,0.4895,1.13006,0.90356,0.85473,0.90412,0.52684,1.51903,0.67011,1.71027,0.0089803,0.0089803,0.0089803
